Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,256.670013,257.480011,248.100006,248.960007,248.960007,953700
2018-11-06,248.000000,252.294998,241.440002,245.110001,245.110001,900700
2018-11-07,246.979996,254.380997,246.259995,253.550003,253.550003,762500
2018-11-08,252.080002,255.309998,248.699997,252.199997,252.199997,523700
2018-11-09,250.929993,251.190002,241.000000,244.429993,244.429993,778300
2018-11-12,243.389999,245.000000,234.660004,236.619995,236.619995,834800
2018-11-13,238.080002,240.845001,232.369995,236.360001,236.360001,726100
2018-11-14,238.559998,240.000000,228.988998,229.490005,229.490005,881400
2018-11-15,229.690002,244.929993,229.675003,244.199997,244.199997,1283700
2018-11-16,241.850006,243.000000,237.949997,239.369995,239.369995,716100
2018-11-19,239.110001,239.179993,221.509995,223.000000,223.000000,896600
2018-11-20,213.000000,223.634995,210.552994,219.380005,219.380005,998300
2018-11-21,222.679993,228.649994,218.304993,219.020004,219.020004,701600
2018-11-23,217.000000,222.865005,215.970001,219.240005,219.240005,235200
2018-11-26,223.300003,227.000000,219.380005,226.369995,226.369995,503500
2018-11-27,224.929993,226.649994,223.225006,224.740005,224.740005,424800
2018-11-28,228.479996,236.000000,227.169998,235.399994,235.399994,687400
2018-11-29,234.990005,238.100006,231.009995,236.309998,236.309998,578600
2018-11-30,236.410004,239.205002,233.520004,238.479996,238.479996,755500
2018-12-03,247.500000,248.979996,242.149994,243.889999,243.889999,892600
2018-12-04,242.020004,244.274994,229.619995,229.729996,229.729996,806600
2018-12-06,228.619995,238.649994,225.000000,238.429993,238.429993,1310700
2018-12-07,238.179993,240.990005,223.710007,225.089996,225.089996,830000
2018-12-10,224.589996,231.975006,223.102997,229.770004,229.770004,701300
2018-12-11,231.500000,235.889999,227.740005,229.119995,229.119995,701000
2018-12-12,234.160004,236.339996,231.509995,231.990005,231.990005,529300
2018-12-13,233.500000,235.210007,227.910004,228.710007,228.710007,449700
2018-12-14,224.820007,226.052002,219.707001,220.410004,220.410004,629300
2018-12-17,219.000000,220.000000,208.360001,210.169998,210.169998,1298200
2018-12-18,210.990005,213.770004,207.820007,212.089996,212.089996,1100000
2018-12-19,213.070007,216.309998,200.399994,202.050003,202.050003,966600
2018-12-20,201.039993,203.589996,192.270004,197.210007,197.210007,1275700
2018-12-21,198.100006,202.850006,191.759995,193.169998,193.169998,1439900
2018-12-24,188.339996,194.175003,187.080002,188.899994,188.899994,446800
2018-12-26,190.300003,200.960007,189.800003,200.520004,200.520004,739400
2018-12-27,198.000000,204.919998,195.770004,204.830002,204.830002,775500
2018-12-28,207.210007,209.770996,202.800003,205.759995,205.759995,752200
2018-12-31,207.779999,210.699997,205.979996,210.699997,210.699997,742300
2019-01-02,205.000000,213.419998,202.350006,210.550003,210.550003,652100
2019-01-03,205.389999,207.970001,199.205002,199.600006,199.600006,800600
2019-01-04,204.289993,204.839996,200.679993,202.470001,202.470001,1185000
2019-01-07,209.149994,213.440002,205.619995,209.919998,209.919998,1320800
2019-01-08,213.669998,215.119995,210.380005,214.279999,214.279999,763900
2019-01-09,215.210007,218.949997,214.029999,216.949997,216.949997,571600
2019-01-10,215.320007,219.134003,214.100006,217.960007,217.960007,408300
2019-01-11,215.960007,218.940002,214.009995,218.100006,218.100006,406000
2019-01-14,216.089996,217.899994,214.490005,215.580002,215.580002,422200
2019-01-15,216.440002,223.500000,216.440002,222.850006,222.850006,706700
2019-01-16,222.880005,227.250000,220.929993,221.240005,221.240005,527000
2019-01-17,219.789993,222.149994,219.639999,221.029999,221.029999,686800
2019-01-18,229.190002,233.160004,225.000000,232.080002,232.080002,1465700
2019-01-22,230.000000,230.240005,221.669998,222.990005,222.990005,823800
2019-01-23,224.979996,227.227005,220.009995,222.289993,222.289993,449700
2019-01-24,222.529999,226.899994,222.529999,226.449997,226.449997,406900
2019-01-25,227.979996,228.800003,226.009995,227.259995,227.259995,746800
2019-01-28,223.500000,223.509995,211.339996,215.320007,215.320007,1161600
2019-01-29,215.149994,216.009995,205.399994,206.419998,206.419998,1016900
2019-01-30,209.000000,210.729996,204.934998,210.240005,210.240005,834000
2019-01-31,210.500000,216.070007,210.250000,214.779999,214.779999,614000
2019-02-01,215.330002,222.809998,215.270004,220.500000,220.500000,853300
2019-02-04,220.080002,221.917007,217.160004,218.429993,218.429993,501800
2019-02-05,218.889999,226.000000,218.889999,224.029999,224.029999,660500
2019-02-06,224.460007,227.000000,222.770004,224.669998,224.669998,529800
2019-02-07,222.839996,224.000000,218.399994,220.279999,220.279999,400300
2019-02-08,218.440002,226.389999,218.440002,226.339996,226.339996,707700
2019-02-11,227.729996,230.800003,227.240005,229.179993,229.179993,727300
2019-02-12,231.320007,239.399994,230.630005,238.449997,238.449997,1351100
2019-02-13,240.000000,240.500000,233.764999,236.399994,236.399994,977200
2019-02-14,236.770004,242.339996,236.052994,240.779999,240.779999,1586300
2019-02-15,259.750000,268.613007,254.800003,263.950012,263.950012,4090100
2019-02-19,264.589996,272.720001,263.679993,269.579987,269.579987,1911100
2019-02-20,270.170013,274.815002,267.220001,270.720001,270.720001,1128600
2019-02-21,268.190002,271.869995,266.545990,270.500000,270.500000,689700
2019-02-22,271.880005,275.350006,270.820007,274.970001,274.970001,746400
2019-02-25,278.500000,283.010010,278.500000,279.299988,279.299988,874300
2019-02-26,278.250000,281.859985,278.250000,280.529999,280.529999,654800
2019-02-27,280.500000,285.000000,280.100006,283.989990,283.989990,690600
2019-02-28,283.989990,286.549988,281.964996,285.250000,285.250000,660400
2019-03-01,287.600006,288.489990,283.829987,286.540009,286.540009,837900
2019-03-04,288.000000,289.769989,279.462006,284.399994,284.399994,787400
2019-03-05,284.779999,285.220001,276.040009,277.779999,277.779999,1087700
2019-03-06,277.109985,279.000000,268.730011,275.100006,275.100006,896200
2019-03-07,275.540009,278.000000,271.420013,276.230011,276.230011,550900
2019-03-08,269.519989,275.329987,266.630005,274.549988,274.549988,555600
